鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
南區,房地(土地+建物)+車位,臺中市南區東興路一段25巷15號5樓,11.16,住,,,1080122,土地1建物0車位1,五層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0901126,111.75999999999999,4,2,2,有,有,有,17100,153,坡道機械,0.0,0,此件為台中市政府社會住宅包租代管試辦計畫租金原價租金19000房東租金9折17100房客租金9900,RPRPMLKLKHOFFAB67CC
太平區,房地(土地+建物),臺中市太平區中山路一段245巷1號九樓之9,2.68,,鄉村區,乙種建築用地,1080122,土地1建物0車位0,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880909,24.11,1,0,1,有,有,有,4500,187,,0.0,0,此件為台中市政府社會住宅包租代管試辦計畫租金原價租金5000房東租金9折4500房客租金7折3500,RPUNMLKLKHOFFJB68CC
霧峰區,房地(土地+建物),臺中市霧峰區樹仁路31號三樓之一,24.48,商,,,1080121,土地1建物0車位0,三層,5,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0740120,24.48,1,0,1,有,無,有,5500,225,,0.0,0,,RPROMLLLKHOFFIB48CC
大雅區,房地(土地+建物),臺中市大雅區民生路四段154號,63.0,住,,,1080212,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0681231,168.72,6,2,3,有,無,無,16000,95,,0.0,0,含增建或未登記建物。；,RPTNMLLLKHOFFHB48CC
豐原區,房地(土地+建物),臺中市豐原區圓環東路591巷9號,74.0,商,,,1080220,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0660209,105.75,4,3,2,有,無,有,14000,132,,0.0,0,,RPQOMLLLKHOFFDB87CC
龍井區,房地(土地+建物),臺中市龍井區臺灣大道五段3巷30弄69號,13.22,,鄉村區,乙種建築用地,1080123,土地1建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0750425,13.22,1,0,1,有,無,有,7200,545,,0.0,0,此件為台中市政府社會住宅包租代管試辦計畫租金，原價租金8000，房東租金9折7200，房客租金7折5600,RPQNMLLLKHOFFKB48CC
中區,房地(土地+建物),臺中市中區三民路2段59號六樓之三,6.31,商,,,1080122,土地1建物0車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740521,77.72,3,2,1,有,有,有,15000,193,,0.0,0,此件為台中市政府社會住宅包租代管試辦計畫租金，原價租金16667，房東租金9折15000，房客租金7折11667,RPUNMLLLKHOFFAB87CC
西區,房地(土地+建物),臺中市西區三民路一段36號6樓之11,4.29,住,,,1080123,土地1建物0車位0,六層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840113,87.28,2,2,1,有,有,有,13500,155,,0.0,0,此件為台中市政府社會住宅包租代管試辦計畫租金，原價租金15000，房東租金9折13500，房客租金7折10500,RPXNMLLLKHOFFAB18CC
西區,房地(土地+建物),臺中市西區公益路256號,171.0,住,,,1080216,土地1建物1車位0,全,2,透天厝,住商用,加強磚造,0750623,244.66,2,2,2,有,無,無,78750,322,,0.0,0,,RPOOMLLLKHOFFAB37CC
西區,房地(土地+建物)+車位,臺中市西區臺灣大道二段227號18樓之1,12.67,住,,,1080213,土地1建物1車位1,十八層,25,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0850712,223.11,4,2,2,有,有,有,34439,154,坡道平面,0.0,0,,RPXOMLLLKHOFFAB28CC
北區,房地(土地+建物),臺中市北區進化路577之8號14樓之2,2.69,住,,,1080123,土地1建物0車位0,十四層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800606,38.12,1,0,1,有,有,有,6480,170,,0.0,0,此件為台中市政府社會住宅包租代管試辦計畫租金，原價租金7200，房東租金9折6480，房客租金7折5040,RPOOMLLLKHOFFBB47CC
