鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
潮州鎮,房地(土地+建物)+車位,屏東縣潮州鎮公園路２３９巷１號三樓之１,49.92,住,,,1060804,土地6建物1車位1,三層,五層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1071206,133.74,3,2,2,有,無,4500000,33647,一樓平面,0.0,0,,RPXOMLTLMHOFFCT48CA,79.0,0.0,12.3,,
潮州鎮,房地(土地+建物)+車位,屏東縣潮州鎮公園路２３９巷１號二樓之１,49.92,住,,,1070701,土地6建物1車位1,二層,五層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1071206,133.74,3,2,2,有,無,4650000,34769,一樓平面,0.0,0,,RPOPMLTLMHOFFCT67CA,79.0,0.0,12.3,,
潮州鎮,房地(土地+建物)+車位,屏東縣潮州鎮公園路２３９巷１號二樓之７,49.92,住,,,1070307,土地6建物1車位1,二層,五層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1071206,137.38,3,2,2,有,無,4750000,34576,一樓平面,0.0,0,,RPPPMLTLMHOFFCT77CA,81.2,0.0,12.58,,
潮州鎮,房地(土地+建物),屏東縣潮州鎮志成路３３８之５號,135.84,住,,,1080216,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1070116,222.74,4,2,3,有,無,15800000,70935,,0.0,0,含裝潢,RPPPMLOLMHOFFCT27CA,212.68,0.0,10.06,,
潮州鎮,土地,永春段448地號,60.75,住,,,1080306,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1100000,18107,,0.0,0,,RPQPMLOLMHOFFCT37CA,0.0,0.0,0.0,,
潮州鎮,房地(土地+建物),屏東縣潮州鎮仁德街５號,117.15,住,,,1071104,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1071120,224.39,6,2,5,有,無,15100000,67294,,0.0,0,,RPSNMLQKMHOFFCT47CA,205.25,0.0,19.14,,
萬巒鄉,土地,萬和段1881-9地號,542.35,農,,,1080211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,4610,,0.0,0,,RPTNMLMKMHOFFCT17CA,0.0,0.0,0.0,,
萬巒鄉,土地,鹿寮段591-6地號,3896.0,,一般農業區,農牧用地,1080130,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13654000,3505,,0.0,0,,RPSNMLRKMHOFFCT57CA,0.0,0.0,0.0,,
潮州鎮,土地,崙新段1455-1地號,5993.67,,特定農業區,農牧用地,1080224,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10197000,1701,,0.0,0,,RPVNMLRKMHOFFCT87CA,0.0,0.0,0.0,,
潮州鎮,房地(土地+建物),屏東縣潮州鎮太平路１７５號,153.74,住,,,1080224,土地2建物1車位0,一層，騎樓，見其他登記事項,一層,店面(店鋪),見其他登記事項,見其他登記事項,1051222,96.47,2,1,1,有,無,9000000,93293,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPVNMLTLLHOFFCT08CA,96.47,0.0,0.0,,
潮州鎮,房地(土地+建物),屏東縣潮州鎮杭州街１０８巷１０號,95.33,住,,,1080213,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0960815,161.86,4,1,3,有,無,5090000,31447,,0.0,0,親友、員工或其他特殊關係間之交易。；含增建或未登記建物。；含部分贈與,RPSNMLLJMHOFFCT86CA,146.41,4.59,10.86,,
內埔鄉,土地,溝底段659-1地號,381.57,農,,,1080313,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,572355,1500,,0.0,0,畸零地或有合併使用之交易。；,RPPNMLNJMHOFFCT76CA,0.0,0.0,0.0,,
潮州鎮,土地,三星段65地號,31.2,住,,,1080221,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,798720,25600,,0.0,0,向政府機關承購之案件。；,RPWNMLLKMHOFFCT37CA,0.0,0.0,0.0,,
內埔鄉,土地,新埔段1305地號,3055.0,,特定農業區,農牧用地,1071222,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6500000,2128,,0.0,0,祭祀公業移轉,RPTNMLSLLHOFFCT77CA,0.0,0.0,0.0,,
枋寮鄉,土地,東海段126-2地號,99.0,,工業區,丁種建築用地,1080224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,650000,6566,,0.0,0,,RPQNMLMKMHOFFFT17CA,0.0,0.0,0.0,,
恆春鎮,土地,後壁湖段532地號,747.19,,國家公園區,,1080308,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2850000,3814,,0.0,0,,RPSNMLMJMHOFFET17CA,0.0,0.0,0.0,,
恆春鎮,土地,大平頂段下大平頂小段234-1地號,1849.75,,山坡地保育區,農牧用地,1080315,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,162,,0.0,0,,RPSNMLLKMHOFFET17CA,0.0,0.0,0.0,,
車城鄉,土地,興安段181地號,78.16,住,,,1080302,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,943600,12073,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPTNMLTLLHOFFET08CA,0.0,0.0,0.0,,
東港鎮,房地(土地+建物),屏東縣東港鎮光復路三段130號八樓之四,10.9,住,,,1080311,土地1建物1車位0,八層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850304,111.44,3,1,2,有,無,3500000,31407,,0.0,0,,RPQNMLSJMHOFFDT47CA,73.34,1.76,7.41,,
林邊鄉,土地,東林段130地號,627.02,農,,,1071119,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,700625,1117,,0.0,0,親友、員工或其他特殊關係間之交易。；包含公共設施保留地之交易。；,RPTNMLMJMHOFFDT17CA,0.0,0.0,0.0,,
東港鎮,土地,嘉新段579地號,585.91,住,,,1080129,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14500000,24748,,0.0,0,含增建或未登記建物。；,RPQNMLMJMHOFFDT86CA,0.0,0.0,0.0,,
東港鎮,房地(土地+建物),屏東縣東港鎮文昌街９號,120.5,住,,,1060621,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1070706,249.99,4,2,3,有,無,15800000,63203,,0.0,0,,RPWNMLSKMHOFFDT18CA,239.63,0.0,10.36,,
東港鎮,房地(土地+建物),屏東縣東港鎮興中東一街９號,103.2,住,,,1080220,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1070706,198.06,4,2,3,有,無,9200000,46451,,0.0,0,,RPXNMLSKMHOFFDT28CA,186.73,0.0,11.33,,
里港鄉,土地,大港洋段1056-3地號,346.5,,特定農業區,甲種建築用地,1080305,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2100000,6061,,0.0,0,,RPQNMLTJMHOFFBT37CA,0.0,0.0,0.0,,
里港鄉,土地,鐵店段276-3地號,188.0,住,,,1080312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2256000,12000,,0.0,0,親友、員工或其他特殊關係間之交易。；權利人共二人,RPSNMLKKMHOFFBT76CA,0.0,0.0,0.0,,
高樹鄉,土地,豐源段377-3地號,1241.0,農,,,1080319,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1100000,886,,0.0,0,,RPTNMLSLLHOFFBT67CA,0.0,0.0,0.0,,
里港鄉,土地,里平段666地號,315.0,住,,,1080319,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10178600,32313,,0.0,0,,RPUNMLSLLHOFFBT77CA,0.0,0.0,0.0,,
三地門鄉,土地,口社段17地號,1455.0,,山坡地保育區,農牧用地,1080314,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,75000,52,,0.0,0,,RPQNMLMLMHOFFBT86CA,0.0,0.0,0.0,,
屏東市,房地(土地+建物),屏東縣屏東市崇安街34號,74.0,住,,,1080314,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0690228,100.92,3,3,2,有,無,3600000,35672,,0.0,0,,RPWNMLMKMHOFFAT27CA,100.92,0.0,0.0,,
