鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
汐止區,建物,新北市汐止區大同路二段２６５號６樓之５,0.0,住,,,1080126,土地0建物1車位0,六層,24,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840126,62.47,1,1,1,有,有,有,16430,263,,0.0,0,,RPPNMLSKKHOFFDF68CC
汐止區,建物,新北市汐止區連興街42號7樓,0.0,商,,,1080217,土地0建物1車位0,七層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850809,83.25,2,2,1,有,有,無,17500,210,,0.0,0,,RPPOMLSKKHOFFDF78CC
樹林區,房地(土地+建物),新北市樹林區鎮前街269巷2號,287.0,工,,,1080214,土地1建物1車位0,見其他登記事項,3,廠辦,見其他登記事項,鋼筋混凝土造,0800104,893.64,0,0,0,無,無,無,120000,134,,0.0,0,,RPQNMLSKKHOFFIF66CC
樹林區,土地,復興段623地號,135.0,商,,,1080116,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,160000,1185,,0.0,0,含增建或未登記建物。；租一樓店面,RPTNMLSKKHOFFIF96CC
中和區,建物,新北市中和區南山路１２７巷３２弄３之４號,0.0,住,,,1080127,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700602,98.94,3,2,2,有,無,有,17000,172,,0.0,0,,RPVOMLSKKHOFFHF17CC
中和區,建物,新北市中和區廣福路７５號九樓,0.0,住,,,1080127,土地0建物1車位1,九層,15,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1020826,252.72,3,2,2,有,有,有,43000,170,坡道平面,43.71,0,租金含管理費,RPXOMLSKKHOFFHF37CC
中和區,建物,新北市中和區中山路二段２巷１３弄８之２號,0.0,住,,,1080128,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660617,97.9,3,2,1,有,無,有,16000,163,,0.0,0,,RPOPMLSKKHOFFHF56CC
中和區,建物,新北市中和區中山路二段６４巷５２號二樓,0.0,住,,,1080128,土地0建物1車位1,二層,17,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050726,120.46000000000001,2,2,1,有,有,有,32000,266,坡道平面,21.09,0,租金含管理費,RPQPMLSKKHOFFHF76CC
中和區,建物,新北市中和區圓通路２９９巷３４號十樓,0.0,住,,,1080129,土地0建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971007,155.32,3,2,2,有,有,有,29000,187,坡道平面,30.99,0,租金含管理費,RPRPMLSKKHOFFHF86CC
汐止區,房地(土地+建物)+車位,新北市汐止區新台五路一段75號18樓之4,26.17,工,,,1080201,土地1建物1車位2,十八層,21,廠辦,工商用,鋼造,0830330,398.12,0,0,0,無,有,無,70000,176,坡道平面,63.0,0,,RPUNMLTKKHOFFDF66CC
汐止區,建物,新北市汐止區大同路二段240號10樓-3 A室,0.0,其他,,,1080218,土地0建物1車位0,十層,17,辦公商業大樓,商業用,鋼骨鋼筋混凝土造,0850710,70.84,1,1,1,有,有,無,16000,226,,0.0,0,,RPSOMLTKKHOFFDF56CC
汐止區,房地(土地+建物)+車位,新北市汐止區新興路121號16樓,24.47,住,,,1080131,土地1建物1車位1,十六層,21,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070213,140.66,3,2,2,有,有,有,29000,206,坡道平面,30.31,0,,RPUOMLTKKHOFFDF76CC
