編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPXNMLRLKHOFFCN37CA,23,81.72,住家用,鋼筋混凝土造,84年12月20日,七層,一層
RPXNMLRLKHOFFCN37CA,23,33.70,梯間、避難室、停車空間、車道,鋼筋混凝土造,84年12月20日,七層,
RPSOMLRLKHOFFBN86CA,1,195.24,停車空間、住宅,鋼筋混凝土造,107年5月29日,四層,一層 二層 三層 四層
RPROMLRLKHOFFBN76CA,1,217.52,停車空間、住宅,鋼筋混凝土造,107年5月29日,四層,一層 二層 三層 四層
RPTOMLRLKHOFFBN96CA,1,179.60,停車空間、住宅,鋼筋混凝土造,107年5月29日,四層,一層 二層 三層 四層
RPPNMLQLKHOFFBN98CA,37,152.40,廠房，倉庫，員工單身宿舍,鋼筋混凝土造,71年1月28日,三層,一層 二層 三層 騎樓
RPPNMLTKKHOFFBN56CA,,186.29,住宅、停車空間、樓梯間,鋼筋混凝土造,108年1月8日,三層,一層 二層 三層 陽台 見其他登記事項
RPQNMLTKKHOFFBN66CA,,185.25,住宅、停車空間、樓梯間,鋼筋混凝土造,108年1月8日,三層,一層 二層 三層 陽台 見其他登記事項
RPSNMLTKKHOFFBN86CA,,168.43,住宅、停車空間、樓梯間,鋼筋混凝土造,108年1月8日,三層,一層 二層 三層 陽台 見其他登記事項
RPSNMLOJLHOFFAN88CA,36,130.35,住商用,鋼筋混凝土造,72年7月4日,三層,一層 二層 三層
RPTNMLOJLHOFFAN98CA,26,150.92,住家用,鋼筋混凝土造,81年8月26日,三層,一層 二層 三層 陽台 屋頂突出物
RPTNMLRJLHOFFAN66CA,48,55.00,住商用,鋼筋混凝土加強磚造,59年10月14日,一層,一層
RPWNMLQLKHOFFAN96CA,32,65.93,辦公室,鋼筋混凝土造,75年12月15日,十二層,四層
RPWNMLQLKHOFFAN96CA,32,10.25,樓梯、走道,鋼筋混凝土造,75年12月15日,十二層,
RPTNMLTKKHOFFAN86CA,51,193.73,住商用,鋼筋混凝土加強磚造,56年12月4日,四層,一層 二層 三層 四層 騎樓
RPUNMLTKKHOFFAN96CA,39,124.92,住家用,加強磚造,69年2月21日,二層,一層 二層 騎樓
RPWNMLPLKHOFFAN86CA,24,206.75,陽台、廠房、梯間,鋼筋混凝土造,83年8月26日,三層,一層 二層 三層 屋頂突出物
RPVNMLPLKHOFFAN76CA,20,77.02,集合住宅,鋼筋混凝土造,87年12月31日,九層,七層 陽台 雨遮
RPVNMLPLKHOFFAN76CA,20,46.34,避難室．停車場．停車空間．自用游泳池．機械室．水塔,鋼筋混凝土造,87年12月31日,九層,
RPOOMLMLKHOFFAN48CA,38,101.76,人行道、店舖、住房,加強磚造,69年11月14日,二層,一層 二層 屋頂突出物 騎樓
RPQNMLMLKHOFFAN58CA,,65.60,集合住宅,鋼筋混凝土造,107年8月21日,十二層,一層
RPQNMLMLKHOFFAN58CA,,47.39,防空避難室兼停車空間、台電配電室、發電機房、安全梯、消防機械室、電信機房、水箱、電梯間、梯廳、管委會使用空間（門廳）、公共服務空間、排煙室、垃圾集中處、戶外安全梯、水錶室、梯間、水錶間、機房、電梯機房,鋼筋混凝土造,107年8月21日,十二層,
RPVNMLRJLHOFFDN17CA,34,74.02,住家用,鋼筋混凝土造,73年12月13日,五層,一層
RPVNMLRJLHOFFDN17CA,34,8.93,停車場、儲藏室,鋼筋混凝土造,73年12月13日,五層,
RPWOMLNLKHOFFAN76CA,38,86.87,住家用,加強磚造,70年6月26日,二層,一層 二層
RPQPMLMLKHOFFAN78CA,25,73.31,住家用,鋼筋混凝土造,83年6月21日,十三層,十三層 陽台 花台
RPQPMLMLKHOFFAN78CA,25,33.03,停車空間、梯間、避難室、門廳,鋼筋混凝土造,83年6月21日,十四層,
RPRPMLMLKHOFFAN88CA,22,199.65,住家、避難室,鋼筋混凝土造,86年4月9日,三層,一層 二層 三層 地下層 見其他登記事項
RPVNMLRJLHOFFAN86CA,39,90.80,住家用,鋼筋混凝土加強磚造,68年7月4日,二層,一層 二層
RPSNMLLLKHOFFCN88CA,35,157.50,住家用,鋼筋混凝土加強磚造,72年10月26日,三層,一層 二層 三層 騎樓
RPQNMLPLKHOFFCN09CA,1,160.03,住家用、梯間,鋼筋混凝土造,107年3月7日,三層,一層 二層 三層 陽台 屋頂突出物
RPVNMLPKLHOFFAN76CA,,237.49,住宅、停車空間,鋼筋混凝土造,107年9月10日,四層,一層 二層 三層 四層 陽台
RPVNMLPKLHOFFAN76CA,,5.47,住家用,鋼筋混凝土造,107年9月10日,四層,
RPXNMLPKLHOFFAN96CA,,237.49,住宅、停車空間,鋼筋混凝土造,107年9月10日,四層,一層 二層 三層 四層 陽台
RPXNMLPKLHOFFAN96CA,,5.47,住家用,鋼筋混凝土造,107年9月10日,四層,
RPROMLPKLHOFFAN09CA,,241.89,住宅、停車空間,鋼筋混凝土造,107年9月10日,四層,一層 二層 三層 四層 陽台
RPROMLPKLHOFFAN09CA,,5.47,住家用,鋼筋混凝土造,107年9月10日,四層,
RPTNMLPJLHOFFDN76CA,28,162.34,住家用,鋼筋混凝土造,79年11月24日,四層,一層 二層 三層 四層 陽台
RPTNMLPJLHOFFDN76CA,28,21.92,停車空間,鋼筋混凝土造,79年11月24日,六層,
RPTNMLPJLHOFFDN76CA,28,20.21,避難室,鋼筋混凝土造,79年11月24日,六層,
RPQNMLNLKHOFFDN98CA,27,25.51,住家用,鋼筋混凝土造,81年1月6日,六層,六層 陽台
RPQNMLNLKHOFFDN98CA,27,7.55,電梯、樓梯,鋼筋混凝土造,81年1月6日,六層,
RPQNMLNLKHOFFDN98CA,27,1.17,交誼廳、門廳、水塔,鋼筋混凝土造,81年1月6日,六層,
RPQNMLNLKHOFFDN98CA,27,8.36,避難室、停車空間、車道,鋼筋混凝土造,81年1月6日,六層,
RPRNMLNLKHOFFDN09CA,2,148.37,住宅,鋼筋混凝土造,105年12月30日,三層,一層 二層 三層 陽台 見其他登記事項
RPWNMLNKLHOFFDN96CA,1,332.52,住宅,鋼筋混凝土造,107年5月17日,五層,一層 二層 三層 四層 五層 陽台
RPUNMLOKLHOFFDN86CA,26,232.04,住家用,鋼筋混凝土造,82年5月3日,八層,八層 陽台 露台
RPUNMLOKLHOFFDN86CA,26,30.60,避難室、停車空間,鋼筋混凝土造,82年5月3日,八層,
RPUNMLOKLHOFFDN86CA,26,47.97,電梯、樓梯、門廳、避難室,鋼筋混凝土造,82年5月3日,八層,
RPVNMLNLKHOFFHN27CA,,169.28,住宅、樓梯間,鋼筋混凝土造,107年11月21日,四層,一層 二層 三層 四層 陽台
RPXNMLNLKHOFFHN47CA,,160.88,住宅、樓梯間,鋼筋混凝土造,107年11月21日,四層,一層 二層 三層 四層 陽台
