鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中正區,建物,臺北市中正區忠孝東路1段83號9樓之3,0.0,商,,,1080131,土地0建物1車位0,九層,25,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0781230,132.65,2,2,1,有,有,有,40000,302,,0.0,0,,RPUOMLLKKHOFFBA87CC
信義區,建物,臺北市信義區虎林街82巷37號6樓,0.0,住,,,1080201,土地0建物1車位0,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0920806,122.9,3,2,2,有,無,有,38000,309,,0.0,0,,RPWNMLLKKHOFFDA18CC
信義區,建物,臺北市信義區中坡南路249之1號,0.0,,,,1080201,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0760120,108.26,0,1,1,有,無,無,35000,323,,0.0,0,,RPTOMLLKKHOFFDA97CC
松山區,房地(土地+建物),臺北市松山區撫遠街251號1樓,45.47,住,,,1071127,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640114,128.06,0,0,0,無,無,有,50000,390,,0.0,0,,RPXOMLLKKHOFFDA38CC
松山區,建物,臺北市松山區慶城街26-1號2樓,0.0,住,,,1080115,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0680104,167.23000000000002,3,2,2,有,無,無,55000,329,,0.0,0,,RPQPMLLKKHOFFDA77CC
信義區,建物,臺北市信義區基隆路1段149號10樓-2,0.0,商,,,1080130,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0730507,75.46000000000001,0,0,0,無,無,有,26000,345,,0.0,0,,RPRPMLLKKHOFFDA87CC
南港區,建物,臺北市南港區東新街７７巷１５弄１２號三樓,0.0,住,,,1080120,土地0建物1車位0,三層,3,公寓(5樓含以下無電梯),住家用,加強磚造,,54.01,2,2,1,有,無,有,24000,444,,0.0,0,,RPSPMLLKKHOFFDA97CC
士林區,建物,臺北市士林區天母東路69巷11號4樓,0.0,住,,,1080130,土地0建物1車位0,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0660901,157.45,3,2,2,有,有,有,59000,375,,0.0,0,含管理費、稅金或水電等費用。；,RPQNMLLKKHOFFEA67CC
士林區,建物,臺北市士林區天母東路43巷4弄12號2樓,0.0,商,,,1080201,土地0建物1車位0,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850605,180.31,3,2,2,有,有,有,56000,311,,0.0,0,續租。；含管理費、稅金或水電等費用。；,RPRNMLLKKHOFFEA77CC
士林區,建物,臺北市士林區通河東街一段１６７巷３７號,0.0,工,,,1080118,土地0建物0車位0,一層,5,廠辦,工業用,鋼筋混凝土造,0791122,192.31,0,0,0,無,無,無,45000,234,,0.0,0,部分承租，公設面積無法分算,RPUOMLLKKHOFFEA18CC
士林區,建物,臺北市士林區天母北路９巷１２號二樓,0.0,商,,,1080120,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680502,100.31,3,2,2,有,無,有,20000,199,,0.0,0,,RPVOMLLKKHOFFEA28CC
北投區,建物,臺北市北投區承德路七段１０６巷８號四樓,0.0,住,,,1080120,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610816,67.89,3,2,1,有,無,有,20000,295,,0.0,0,,RPWOMLLKKHOFFEA38CC
